state,today,total
Bandra MS Bishanpur,0,210
Bandra MS Bishanpur,0,362
Bandra MS Chandpura,0,210
Bandra MS Harpur,0,475
Bandra MS Jarangi,0,306
Bandra MS Maheshpur,0,157
Bandra MS Nunfara,0,500
Bandra MS Pirapur,0,515
Bandra MS Pirapur,0,735
Bandra MS Ratwara,0,336
Bandra MS Sabaldih,0,166
Bandra MS Sakari,0,160
Bandra MS Sakriman,0,129
Bandra MS Simra Mallah Tola,0,323
Bandra MS Simra Narayanpur,0,195
Bandra PB Bandra,0,869
Bandra PB Hattha,0,201
Bandra PB Rampur Dayal,0,10
Bandra PB Simra,0,349
Bandra PS Baligama,0,200
Bandra PS Bariyarpur Noonfara,0,210
Bandra PS Chandauli East,0,193
Bandra PS Ghosrama Pokhar,0,229
Bandra PS Govind Chhapra Purvi,0,201
Bandra PS Govindpur Chhapra,0,211
Bandra PS Harpur,0,192
Bandra PS Hattha,0,243
Bandra PS KHANUA NADIPAR,0,230
Bandra PS Kalyannagar,0,184
Bandra PS Karaila,0,479
Bandra PS Karaila Sahni Tola,0,350
Bandra PS Karmaitha,0,465
Bandra PS Kharagpur,0,199
Bandra PS Madhurapur Lakhraj W,0,209
Bandra PS Malanga Urdu,0,253
Bandra PS Nunfara,0,214
Bandra PS Piar Kanya,0,171
Bandra PS Rampur Dayal Kanya,0,227
Bandra PS SUNDER PUR RATWARA,0,176
Bandra PS Shivnagar,0,199
Bandra PS Simra Dhab,0,201
Bandra PS Soma Tola Ghosrama,0,250
Bandra PS Sonbarsa,0,198
Bandra S Bangahi East,0,266
Bandra S MS Govindpur Chhapra,0,660
Bandra S MS Kewtsa,0,758
Bandra S MS Maheshpur TEPARI,0,"1,235"
Bandra S MS Munni,0,558
Bandra S MS Noonfara,0,135
Bandra S MS Rampur Dayal,0,683
Bandra S MS Sakhuara,0,193
Bandra S PS Ghosrama,0,"1,399"
Bandra S PS Jarangi Bargaon,0,173
Bandra S PS Lohrakha,0,502
Bandra S UMS Hatha,0,90
