state,today,total
Morwa PHC,0,"5,966"
Morwa RBSK Team- I,0,"4,917"
Morwa RBSK Team- II,0,"5,160"
Morwa Workplace Center,0,"5,944"
Muskan Sewa Sadan,0,314
Nagar Parishad Dalsingsarai,0,"10,925"
OLD PHC Khanpur Building,0,"6,337"
PHC Bibhutipur FLW,0,19
PHC Bithan FLW,0,5
PHC Hasanpur FLW,0,87
PHC Kalyanpur FLW,0,10
PHC Khanpur FLW,0,11
PHC Mohanpur,0,"9,793"
PHC Mohanpur FLW,0,18
PHC Mohiuddinnagar FLW,0,"1,681"
PHC Morwa FLW,0,158
PHC Patori FLW,0,352
PHC Pusa FLW,0,76
PHC Rosera FLw,0,21
PHC Samastipur FLW,0,6
PHC Sarairanjan FLW,0,9
PHC Shivajinagar FLW,0,6
PHC Singhia,0,313
PHC Singhia FLW,0,17
PHC Tajpur FLW,0,13
PHC Tajpur Kothia,0,"1,185"
PHC Ujiyarpur FLW,0,9
PHC Vidyapatinagar,0,450
PHC Vidyapatinagar FLW,0,7
PHC Warishnagar FLW,0,17
PHC dalsingsarai FLW,0,"14,278"
PS Sanskrit Laguniya Patori,0,832
PUSHPLATA DEVI CHILD HOSP-1,0,40
PUSHPLATA DEVI CHILD HOSPITAL,0,284
Panchayat Bhawan Gohi II,0,"1,967"
Panchayat Bhawan Illmasnagar,0,809
Panchayat Bhawan Karimnagar,0,"4,395"
Panchayat Bhawan Maw Dhanespur,0,"2,221"
Panchayat Bhawan Purshottampur,0,"2,799"
Panchayat Bhawan Rasalpur,0,593
Panchayat BhawanBasantpurRamni,0,551
Panchayat SamitiBhawan Ujiyarp,0,"2,596"
Panchayat Sarkar Bhawan Gohi,0,"7,430"
Panchyat Samiti Bhawan Singhia,0,"1,927"
Patori CRC- I,0,934
Patori PHC,0,"11,060"
Patori RBSK Team- I,0,"3,281"
Patori RBSK Team- II,0,"2,995"
Patori Workplace Center,0,"8,714"
Phc Hasanpur Phc Hasanpur,0,"6,330"
Phc Khanpur Phc Khanpur,0,"5,964"
Phc-Kalyanpur Phc-Kalyanpur,0,"9,355"
Police Line Samastipur I,0,9
Police Line Samastipur II,0,18
Police Line Samastipur III,0,7
Pusa CRC- I,0,"2,916"
Pusa PHC,0,112
Pusa RBSK Team- I,0,"7,173"
Pusa RBSK Team-II,0,"7,229"
Pusa SDH,0,"5,208"
Pusa Workplace Center,0,"5,186"
Raipur Pachyat Bhawan Warish,0,670
Rajkiya MS Jaunapur Mohanpur,0,884
Rajkiya Middle School Rosera,0,"8,840"
Referal Hospital Tajpur,0,"9,000"
Rosera CRC- I,0,"1,298"
Rosera RBSK Team-I,0,"4,409"
Rosera SDH,0,"8,167"
Rosera Workplace Center,0,"12,162"
SHYAM SHISHU SADAN,0,398
SKBN School Rosera,0,"11,246"
Sadar Hospital Sam Health,0,"10,466"
Samastipur CRC- I,0,"2,653"
