state,today,total
BP RAI MEMORIAL HOSPITAL,0,767
BP ROY MEMORIAL HOSPITA 2,0,"20,689"
Baliya PHC RI,0,596
Bishnupur Multispeciality Hosp,0,"1,351"
CIVIL CORT BEGUSARAI,0,562
Chhurahi PHC RI,0,"23,449"
Dandari PHC RI,0,"20,716"
GARA HWC PHC BIRPUR,0,"8,159"
GHSPL GLOCAL HOSPITAL,0,6
HSC AADHARPUR PHC TEGHRA,0,206
HSC AMARPUR PHC BARAUNI,0,98
HSC AYODHYA PHC TEGHRA,0,155
HSC BABHANGAMA PHC BARAUNI,0,989
HSC BAJLEPURAPURVI PHC TEGHRA,0,"1,231"
HSC BARAUNI 1 PHC TEGHRA,0,"2,091"
HSC BARAUNI 2 PHC TEGHRA,0,"1,039"
HSC BARAUNI 3 PHC TEGHRA,0,917
HSC BARO GARHARA,0,"1,077"
HSC BATHAULI,0,311
HSC CHAMTHA -3 PHC BACHWARA,0,336
HSC GARHARA,0,519
HSC GODHNA PHC BACHWARA,0,235
HSC HARIHARPUR PHC TEGHRA,0,374
HSC HARPUR PHC BARAUNI,0,93
HSC HASANPUR,0,"1,339"
HSC KESHAWE PHC BARAUNI,0,351
HSC LAXMAN TOLA PHC BACHWARA,0,959
HSC MASNADPUR PHC BARAUNI,0,73
HSC NINGA PHC BARAUNI,0,"1,047"
HSC NURPUR PHC BARAUNI,0,87
HSC PAPRAUR PHC BARAUNI,0,"1,060"
HSC PIRHAULI PHC TEGHRA,0,"1,604"
HSC RAJWARA PHC BARAUNI,0,61
HSC SAHURI PHC BARAUNI,0,219
HSC SIMARIYA PHC BARAUNI,0,345
HSC TILRATH PHC BARAUNI,0,"1,082"
HSCBAIYARPURWEST PHCKHODAWANPU,0,"1,150"
HSCBARIYARPURPURVI KHODAWANPUR,0,302
Hsc Jagatpura,0,"3,619"
Hsc Jokiya,0,"14,773"
Hsc Khanjhapur,0,"3,555"
Hsc Mohanpur Awc 65,0,"2,461"
I.B. BHAWAN BHAGWANPUR,0,"24,584"
KALPANA NURSING HOME BEGUSARAI,0,10
KATARMALA HWC,0,"3,031"
KISHAN BHAWAN BARAUNI,0,"42,121"
KISHAN BHAWAN BIRPUR,0,"22,664"
Karore Hsc,0,156
Khodawandpur PHC RI,0,"25,837"
Kumbhi Hsc,0,"2,159"
MADHYA VIDHYALY RANI 3,0,"18,382"
MANDAL KARA BEGUSARAI,0,239
MIDDLE SCHOOL BALIYA,0,"19,004"
MIDDLE SCHOOL GADHPURA,0,"34,471"
MIDDLE SCHOOL NAREPUR BACHWARA,0,"50,492"
MOBILE TIKA PHC SADAR,0,"1,217"
MOBILE TIKAKARAN,0,"3,689"
MOHANPUR APHC RI,0,"4,353"
OLD BRC BHAWAN BAKHRI,0,"17,603"
POLICE LINE BEGUSARAI,0,"9,238"
RADHA DEVI G SCHOOL NAWKOTHI,0,"33,548"
RAJAURA HSC,0,"6,386"
REFAINORY TOWNSIP HOSPITAL BGS,0,"27,371"
RH MANJHAUL,0,"13,539"
Railway Hospital Garhara,0,13
SADAR HOSPITAL BEGUSARAI,0,"49,729"
SARKAR BHAWAN SUJJA,0,"7,706"
SAVITRI DEVI GIRL HIGH SCHOOL,0,"21,608"
SWARN JAYANTI PUSTKALAY BGS,0,"16,448"
Sadar Hospital BGS,0,"2,773"
Sahebpur Kamal PHC RI,0,"55,153"
Sakrauli Hsc,0,"4,523"
Satha HSC,0,"3,522"
Shamho PHC RI,0,"15,396"
Sokhara Hsc,0,"14,520"
Sokhara Panchit Bhaban,0,31
TIKA ESPRESS CHERIYABARIYARPUR,0,"5,417"
TIKA EXPRESS BALIA,0,"1,239"
TIKA EXPRESS BARAUNI,0,"8,043"
TIKA EXPRESS BIRPUR,0,"5,669"
TIKA EXPRESS CHHAURAHI,0,"9,911"
TIKA EXPRESS KHODAWANPUR,0,"3,892"
TIKA EXPRESS MATIHANI,0,"2,453"
TIKA EXPRESS SADAR PHC,0,"17,455"
TIKA EXPRESS SAHEBPUR KAMAL,0,380
TIKA EXPRESS TEGHRA,0,"1,653"
U M SCHOOL CH BARIYARPUR,0,"20,296"
UGM SCHOOL MANSURCHAK,0,"20,262"
UH SHCHOOL ASURARI PHC BARAUNI,0,"4,245"
URBAN BEGUSARAI,0,"7,580"
VACCINATION BHAWAN MATIHANI,0,"45,073"
